name,all,cur_select_size,cur_size_ratio,effect_len,mop,i,model_name,data_name,pair_name
DeepDAC,0.03482496738433838,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.033499956130981445,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
CES,0.015374958515167238,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
Gini,0.037499964237213135,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
Random,0.02042496204376221,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.03452497720718384,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
LSA,0.03322499990463257,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDiv,0.04762500524520874,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC,0.0455249547958374,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.04724997282028198,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
CES,0.020500004291534424,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
Gini,0.04624998569488525,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
Random,0.028599977493286133,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.04852497577667236,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
LSA,0.04222500324249268,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDiv,0.05219995975494385,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC,0.05332499742507935,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.05172497034072876,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
CES,0.02322494983673096,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
Gini,0.052625000476837165,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
Random,0.0339999794960022,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.05229997634887695,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
LSA,0.04954999685287476,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDiv,0.0584249496459961,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC,0.05839997529983521,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.05694997310638428,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
CES,0.02672499418258667,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
Gini,0.05672496557235718,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
Random,0.03807497024536133,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.05672496557235718,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
LSA,0.05339998006820679,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDiv,0.03117495775222778,1000,0.025,637,RG,0,LeNet1,mnist,mnist_LeNet1
DeepDAC,0.0330999493598938,1000,0.025,996,RG,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.03599995374679565,1000,0.025,999,RG,0,LeNet1,mnist,mnist_LeNet1
CES,0.0151749849319458,1000,0.025,969,RG,0,LeNet1,mnist,mnist_LeNet1
Gini,0.006299972534179688,1000,0.025,23,RG,0,LeNet1,mnist,mnist_LeNet1
Random,0.0188249945640564,1000,0.025,838,RG,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.007674992084503174,1000,0.025,40,RG,0,LeNet1,mnist,mnist_LeNet1
